GROUP,GROUPDesc,freq,period,sv,svDesc,figure,sd_value
,Total,Y,1999,CC_CM_1920,Index,73.6,
S1,Food,Y,1999,CC_CM_1920,Index,56.9,
S2,Housing,Y,1999,CC_CM_1920,Index,75.2,
S3,"Electricity, gas and water",Y,1999,CC_CM_1920,Index,89.0,
S4,Alcoholic drinks and tobacco,Y,1999,CC_CM_1920,Index,58.6,
S5,Clothing and footwear,Y,1999,CC_CM_1920,Index,97.0,
S6,Durable goods,Y,1999,CC_CM_1920,Index,231.9,
S7,Miscellaneous goods,Y,1999,CC_CM_1920,Index,63.9,
S8,Transport,Y,1999,CC_CM_1920,Index,78.4,
S9,Miscellaneous services,Y,1999,CC_CM_1920,Index,80.7,
,Total,Y,2000,CC_CM_1920,Index,70.9,
S1,Food,Y,2000,CC_CM_1920,Index,55.7,
S2,Housing,Y,2000,CC_CM_1920,Index,69.1,
S3,"Electricity, gas and water",Y,2000,CC_CM_1920,Index,92.1,
S4,Alcoholic drinks and tobacco,Y,2000,CC_CM_1920,Index,58.0,
S5,Clothing and footwear,Y,2000,CC_CM_1920,Index,86.9,
S6,Durable goods,Y,2000,CC_CM_1920,Index,220.8,
S7,Miscellaneous goods,Y,2000,CC_CM_1920,Index,64.4,
S8,Transport,Y,2000,CC_CM_1920,Index,79.1,
S9,Miscellaneous services,Y,2000,CC_CM_1920,Index,80.5,
,Total,Y,2001,CC_CM_1920,Index,69.8,
S1,Food,Y,2001,CC_CM_1920,Index,55.2,
S2,Housing,Y,2001,CC_CM_1920,Index,67.0,
S3,"Electricity, gas and water",Y,2001,CC_CM_1920,Index,90.3,
S4,Alcoholic drinks and tobacco,Y,2001,CC_CM_1920,Index,59.9,
S5,Clothing and footwear,Y,2001,CC_CM_1920,Index,82.9,
S6,Durable goods,Y,2001,CC_CM_1920,Index,205.1,
S7,Miscellaneous goods,Y,2001,CC_CM_1920,Index,65.3,
S8,Transport,Y,2001,CC_CM_1920,Index,79.4,
S9,Miscellaneous services,Y,2001,CC_CM_1920,Index,80.9,
,Total,Y,2002,CC_CM_1920,Index,67.6,
S1,Food,Y,2002,CC_CM_1920,Index,54.1,
S2,Housing,Y,2002,CC_CM_1920,Index,63.1,
S3,"Electricity, gas and water",Y,2002,CC_CM_1920,Index,84.0,
S4,Alcoholic drinks and tobacco,Y,2002,CC_CM_1920,Index,61.4,
S5,Clothing and footwear,Y,2002,CC_CM_1920,Index,83.6,
S6,Durable goods,Y,2002,CC_CM_1920,Index,192.2,
S7,Miscellaneous goods,Y,2002,CC_CM_1920,Index,66.4,
S8,Transport,Y,2002,CC_CM_1920,Index,78.9,
S9,Miscellaneous services,Y,2002,CC_CM_1920,Index,79.0,
,Total,Y,2003,CC_CM_1920,Index,65.9,
S1,Food,Y,2003,CC_CM_1920,Index,53.2,
S2,Housing,Y,2003,CC_CM_1920,Index,60.1,
S3,"Electricity, gas and water",Y,2003,CC_CM_1920,Index,85.2,
S4,Alcoholic drinks and tobacco,Y,2003,CC_CM_1920,Index,61.4,
S5,Clothing and footwear,Y,2003,CC_CM_1920,Index,81.3,
S6,Durable goods,Y,2003,CC_CM_1920,Index,179.8,
S7,Miscellaneous goods,Y,2003,CC_CM_1920,Index,67.9,
S8,Transport,Y,2003,CC_CM_1920,Index,78.6,
S9,Miscellaneous services,Y,2003,CC_CM_1920,Index,76.5,
,Total,Y,2004,CC_CM_1920,Index,65.6,
S1,Food,Y,2004,CC_CM_1920,Index,53.8,
S2,Housing,Y,2004,CC_CM_1920,Index,57.0,
S3,"Electricity, gas and water",Y,2004,CC_CM_1920,Index,94.9,
S4,Alcoholic drinks and tobacco,Y,2004,CC_CM_1920,Index,61.4,
S5,Clothing and footwear,Y,2004,CC_CM_1920,Index,86.8,
S6,Durable goods,Y,2004,CC_CM_1920,Index,176.8,
S7,Miscellaneous goods,Y,2004,CC_CM_1920,Index,70.4,
S8,Transport,Y,2004,CC_CM_1920,Index,78.9,
S9,Miscellaneous services,Y,2004,CC_CM_1920,Index,76.4,
,Total,Y,2005,CC_CM_1920,Index,66.2,
S1,Food,Y,2005,CC_CM_1920,Index,54.7,
S2,Housing,Y,2005,CC_CM_1920,Index,57.0,
S3,"Electricity, gas and water",Y,2005,CC_CM_1920,Index,98.8,
S4,Alcoholic drinks and tobacco,Y,2005,CC_CM_1920,Index,61.7,
S5,Clothing and footwear,Y,2005,CC_CM_1920,Index,88.2,
S6,Durable goods,Y,2005,CC_CM_1920,Index,170.2,
S7,Miscellaneous goods,Y,2005,CC_CM_1920,Index,71.4,
S8,Transport,Y,2005,CC_CM_1920,Index,80.0,
S9,Miscellaneous services,Y,2005,CC_CM_1920,Index,77.1,
,Total,Y,2006,CC_CM_1920,Index,67.6,
S1,Food,Y,2006,CC_CM_1920,Index,55.7,
S2,Housing,Y,2006,CC_CM_1920,Index,59.7,
S3,"Electricity, gas and water",Y,2006,CC_CM_1920,Index,100.9,
S4,Alcoholic drinks and tobacco,Y,2006,CC_CM_1920,Index,59.4,
S5,Clothing and footwear,Y,2006,CC_CM_1920,Index,89.1,
S6,Durable goods,Y,2006,CC_CM_1920,Index,159.3,
S7,Miscellaneous goods,Y,2006,CC_CM_1920,Index,72.6,
S8,Transport,Y,2006,CC_CM_1920,Index,80.5,
S9,Miscellaneous services,Y,2006,CC_CM_1920,Index,78.6,
,Total,Y,2007,CC_CM_1920,Index,68.9,
S1,Food,Y,2007,CC_CM_1920,Index,58.1,
S2,Housing,Y,2007,CC_CM_1920,Index,60.9,
S3,"Electricity, gas and water",Y,2007,CC_CM_1920,Index,100.1,
S4,Alcoholic drinks and tobacco,Y,2007,CC_CM_1920,Index,58.7,
S5,Clothing and footwear,Y,2007,CC_CM_1920,Index,92.8,
S6,Durable goods,Y,2007,CC_CM_1920,Index,151.8,
S7,Miscellaneous goods,Y,2007,CC_CM_1920,Index,74.4,
