GDP_COMPONENT,GDP_COMPONENTDesc,freq,period,sv,svDesc,figure,sd_value
,Total,Y,1999,CUR,%,100.0,
PCE,Private consumption expenditure,Y,1999,CUR,%,60.2,
,Total,Y,2000,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2000,CUR,%,58.6,
,Total,Y,2001,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2001,CUR,%,59.6,
,Total,Y,2002,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2002,CUR,%,58.0,
,Total,Y,2003,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2003,CUR,%,57.5,
,Total,Y,2004,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2004,CUR,%,58.6,
,Total,Y,2005,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2005,CUR,%,57.5,
,Total,Y,2006,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2006,CUR,%,57.8,
,Total,Y,2007,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2007,CUR,%,59.5,
,Total,Y,2008,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2008,CUR,%,60.1,
,Total,Y,2009,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2009,CUR,%,61.1,
,Total,Y,2010,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2010,CUR,%,61.4,
,Total,Y,2011,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2011,CUR,%,63.3,
,Total,Y,2012,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2012,CUR,%,64.6,
,Total,Y,2013,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2013,CUR,%,66.1,
,Total,Y,2014,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2014,CUR,%,66.5,
,Total,Y,2015,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2015,CUR,%,66.4,
,Total,Y,2016,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2016,CUR,%,66.3,
,Total,Y,2017,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2017,CUR,%,67.1,
,Total,Y,2018,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2018,CUR,%,68.3,
,Total,Y,2019,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2019,CUR,%,69.4,
,Total,Y,2020,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2020,CUR,%,66.3,
,Total,Y,2021,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2021,CUR,%,65.0,
,Total,Y,2022,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2022,CUR,%,66.3,
,Total,Y,2023,CUR,%,100.0,
PCE,Private consumption expenditure,Y,2023,CUR,%,70.0,
,Total,Y,2024,CUR,%,100.0,r
PCE,Private consumption expenditure,Y,2024,CUR,%,67.3,r
,Total,Y,2025,CUR,%,100.0,r
PCE,Private consumption expenditure,Y,2025,CUR,%,66.2,r
