GROUP,GROUPDesc,LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
S1,Food,,Total,Y,1999,HOUSE_EXPD,HK$,5612,
S1,Food,1,Public housing,Y,1999,HOUSE_EXPD,HK$,5044,
S1,Food,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,5772,
S1,Food,3,Private housing,Y,1999,HOUSE_EXPD,HK$,5910,
S2,Housing,,Total,Y,1999,HOUSE_EXPD,HK$,7009,
S2,Housing,1,Public housing,Y,1999,HOUSE_EXPD,HK$,1573,
S2,Housing,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,7100,
S2,Housing,3,Private housing,Y,1999,HOUSE_EXPD,HK$,10359,
S3,"Electricity, gas and water",,Total,Y,1999,HOUSE_EXPD,HK$,631,
S3,"Electricity, gas and water",1,Public housing,Y,1999,HOUSE_EXPD,HK$,566,
S3,"Electricity, gas and water",2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,668,
S3,"Electricity, gas and water",3,Private housing,Y,1999,HOUSE_EXPD,HK$,660,
S4,Alcoholic drinks and tobacco,,Total,Y,1999,HOUSE_EXPD,HK$,226,
S4,Alcoholic drinks and tobacco,1,Public housing,Y,1999,HOUSE_EXPD,HK$,273,
S4,Alcoholic drinks and tobacco,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,164,
S4,Alcoholic drinks and tobacco,3,Private housing,Y,1999,HOUSE_EXPD,HK$,219,
S5,Clothing and footwear,,Total,Y,1999,HOUSE_EXPD,HK$,958,
S5,Clothing and footwear,1,Public housing,Y,1999,HOUSE_EXPD,HK$,662,
S5,Clothing and footwear,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,954,
S5,Clothing and footwear,3,Private housing,Y,1999,HOUSE_EXPD,HK$,1143,
S6,Durable goods,,Total,Y,1999,HOUSE_EXPD,HK$,988,
S6,Durable goods,1,Public housing,Y,1999,HOUSE_EXPD,HK$,638,
S6,Durable goods,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,1151,
S6,Durable goods,3,Private housing,Y,1999,HOUSE_EXPD,HK$,1149,
S7,Miscellaneous goods,,Total,Y,1999,HOUSE_EXPD,HK$,1053,
S7,Miscellaneous goods,1,Public housing,Y,1999,HOUSE_EXPD,HK$,743,
S7,Miscellaneous goods,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,1125,
S7,Miscellaneous goods,3,Private housing,Y,1999,HOUSE_EXPD,HK$,1222,
S8,Transport,,Total,Y,1999,HOUSE_EXPD,HK$,2009,
S8,Transport,1,Public housing,Y,1999,HOUSE_EXPD,HK$,1280,
S8,Transport,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,1951,
S8,Transport,3,Private housing,Y,1999,HOUSE_EXPD,HK$,2482,
S9,Miscellaneous services,,Total,Y,1999,HOUSE_EXPD,HK$,3310,
S9,Miscellaneous services,1,Public housing,Y,1999,HOUSE_EXPD,HK$,2063,
S9,Miscellaneous services,2,Subsidised housing,Y,1999,HOUSE_EXPD,HK$,3283,
S9,Miscellaneous services,3,Private housing,Y,1999,HOUSE_EXPD,HK$,4094,
S1,Food,,Total,Y,2004,HOUSE_EXPD,HK$,4863,
S1,Food,1,Public housing,Y,2004,HOUSE_EXPD,HK$,4035,
S1,Food,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,5020,
S1,Food,3,Private housing,Y,2004,HOUSE_EXPD,HK$,5253,
S2,Housing,,Total,Y,2004,HOUSE_EXPD,HK$,5775,
S2,Housing,1,Public housing,Y,2004,HOUSE_EXPD,HK$,1615,
S2,Housing,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,5074,
S2,Housing,3,Private housing,Y,2004,HOUSE_EXPD,HK$,8267,
S3,"Electricity, gas and water",,Total,Y,2004,HOUSE_EXPD,HK$,646,
S3,"Electricity, gas and water",1,Public housing,Y,2004,HOUSE_EXPD,HK$,550,
S3,"Electricity, gas and water",2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,680,
S3,"Electricity, gas and water",3,Private housing,Y,2004,HOUSE_EXPD,HK$,684,
S4,Alcoholic drinks and tobacco,,Total,Y,2004,HOUSE_EXPD,HK$,152,
S4,Alcoholic drinks and tobacco,1,Public housing,Y,2004,HOUSE_EXPD,HK$,185,
S4,Alcoholic drinks and tobacco,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,143,
S4,Alcoholic drinks and tobacco,3,Private housing,Y,2004,HOUSE_EXPD,HK$,138,
S5,Clothing and footwear,,Total,Y,2004,HOUSE_EXPD,HK$,812,
S5,Clothing and footwear,1,Public housing,Y,2004,HOUSE_EXPD,HK$,466,
S5,Clothing and footwear,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,690,
S5,Clothing and footwear,3,Private housing,Y,2004,HOUSE_EXPD,HK$,1042,
S6,Durable goods,,Total,Y,2004,HOUSE_EXPD,HK$,868,
S6,Durable goods,1,Public housing,Y,2004,HOUSE_EXPD,HK$,468,
S6,Durable goods,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,742,
S6,Durable goods,3,Private housing,Y,2004,HOUSE_EXPD,HK$,1129,
S7,Miscellaneous goods,,Total,Y,2004,HOUSE_EXPD,HK$,937,
S7,Miscellaneous goods,1,Public housing,Y,2004,HOUSE_EXPD,HK$,610,
S7,Miscellaneous goods,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,863,
S7,Miscellaneous goods,3,Private housing,Y,2004,HOUSE_EXPD,HK$,1139,
S8,Transport,,Total,Y,2004,HOUSE_EXPD,HK$,1793,
S8,Transport,1,Public housing,Y,2004,HOUSE_EXPD,HK$,970,
S8,Transport,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,1538,
S8,Transport,3,Private housing,Y,2004,HOUSE_EXPD,HK$,2328,
S9,Miscellaneous services,,Total,Y,2004,HOUSE_EXPD,HK$,3037,
S9,Miscellaneous services,1,Public housing,Y,2004,HOUSE_EXPD,HK$,1583,
S9,Miscellaneous services,2,Subsidised housing,Y,2004,HOUSE_EXPD,HK$,2708,
S9,Miscellaneous services,3,Private housing,Y,2004,HOUSE_EXPD,HK$,3939,
S1,Food,,Total,Y,2009,HOUSE_EXPD,HK$,5859,
S1,Food,1,Public housing,Y,2009,HOUSE_EXPD,HK$,4786,
S1,Food,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,5832,
S1,Food,3,Private housing,Y,2009,HOUSE_EXPD,HK$,6475,
S2,Housing,,Total,Y,2009,HOUSE_EXPD,HK$,7093,
S2,Housing,1,Public housing,Y,2009,HOUSE_EXPD,HK$,1160,
S2,Housing,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,6529,
S2,Housing,3,Private housing,Y,2009,HOUSE_EXPD,HK$,10647,
S3,"Electricity, gas and water",,Total,Y,2009,HOUSE_EXPD,HK$,630,
