GROUP,GROUPDesc,LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
2009_28,"28. Rent, including rates and government rent",,Total,Y,2009,HOUSE_EXPD,HK$,6418,
2009_28,"28. Rent, including rates and government rent",1,Public housing,Y,2009,HOUSE_EXPD,HK$,1116,
2009_28,"28. Rent, including rates and government rent",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,5969,
2009_28,"28. Rent, including rates and government rent",3,Private housing,Y,2009,HOUSE_EXPD,HK$,9573,
2009_29,29. Management fees and other housing charges,,Total,Y,2009,HOUSE_EXPD,HK$,663,
2009_29,29. Management fees and other housing charges,1,Public housing,Y,2009,HOUSE_EXPD,HK$,42,
2009_29,29. Management fees and other housing charges,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,554,
2009_29,29. Management fees and other housing charges,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1054,
2009_30,30. Materials for house maintenance,,Total,Y,2009,HOUSE_EXPD,HK$,12,
2009_30,30. Materials for house maintenance,1,Public housing,Y,2009,HOUSE_EXPD,HK$,2,
2009_30,30. Materials for house maintenance,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,6,
2009_30,30. Materials for house maintenance,3,Private housing,Y,2009,HOUSE_EXPD,HK$,19,
2009_51,51. Furniture,,Total,Y,2009,HOUSE_EXPD,HK$,71,
2009_51,51. Furniture,1,Public housing,Y,2009,HOUSE_EXPD,HK$,43,
2009_51,51. Furniture,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,36,
2009_51,51. Furniture,3,Private housing,Y,2009,HOUSE_EXPD,HK$,100,
2009_52,"52. Home appliances, electric and gas",,Total,Y,2009,HOUSE_EXPD,HK$,150,
2009_52,"52. Home appliances, electric and gas",1,Public housing,Y,2009,HOUSE_EXPD,HK$,96,
2009_52,"52. Home appliances, electric and gas",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,132,
2009_52,"52. Home appliances, electric and gas",3,Private housing,Y,2009,HOUSE_EXPD,HK$,188,
2009_53,53. Video and sound equipment,,Total,Y,2009,HOUSE_EXPD,HK$,125,
2009_53,53. Video and sound equipment,1,Public housing,Y,2009,HOUSE_EXPD,HK$,65,
2009_53,53. Video and sound equipment,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,124,
2009_53,53. Video and sound equipment,3,Private housing,Y,2009,HOUSE_EXPD,HK$,159,
2009_54,54. Computer and telecommunications equipment,,Total,Y,2009,HOUSE_EXPD,HK$,181,
2009_54,54. Computer and telecommunications equipment,1,Public housing,Y,2009,HOUSE_EXPD,HK$,94,
2009_54,54. Computer and telecommunications equipment,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,160,
2009_54,54. Computer and telecommunications equipment,3,Private housing,Y,2009,HOUSE_EXPD,HK$,237,
2009_55,55. Tableware and kitchen utensils,,Total,Y,2009,HOUSE_EXPD,HK$,25,
2009_55,55. Tableware and kitchen utensils,1,Public housing,Y,2009,HOUSE_EXPD,HK$,14,
2009_55,55. Tableware and kitchen utensils,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,17,
2009_55,55. Tableware and kitchen utensils,3,Private housing,Y,2009,HOUSE_EXPD,HK$,33,
2009_56,"56. Watches, clocks, cameras and optical goods",,Total,Y,2009,HOUSE_EXPD,HK$,132,
2009_56,"56. Watches, clocks, cameras and optical goods",1,Public housing,Y,2009,HOUSE_EXPD,HK$,33,
2009_56,"56. Watches, clocks, cameras and optical goods",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,84,
2009_56,"56. Watches, clocks, cameras and optical goods",3,Private housing,Y,2009,HOUSE_EXPD,HK$,205,
2009_57,57. Travel and sports goods,,Total,Y,2009,HOUSE_EXPD,HK$,184,
2009_57,57. Travel and sports goods,1,Public housing,Y,2009,HOUSE_EXPD,HK$,39,
2009_57,57. Travel and sports goods,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,73,
2009_57,57. Travel and sports goods,3,Private housing,Y,2009,HOUSE_EXPD,HK$,307,
2009_58,"58. Durable goods, others",,Total,Y,2009,HOUSE_EXPD,HK$,18,
2009_58,"58. Durable goods, others",1,Public housing,Y,2009,HOUSE_EXPD,HK$,12,
2009_58,"58. Durable goods, others",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,21,
2009_58,"58. Durable goods, others",3,Private housing,Y,2009,HOUSE_EXPD,HK$,21,
2009_81,81. School fees,,Total,Y,2009,HOUSE_EXPD,HK$,996,
2009_81,81. School fees,1,Public housing,Y,2009,HOUSE_EXPD,HK$,602,
2009_81,81. School fees,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,854,
2009_81,81. School fees,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1270,
2009_82,82. Other educational charges,,Total,Y,2009,HOUSE_EXPD,HK$,31,
2009_82,82. Other educational charges,1,Public housing,Y,2009,HOUSE_EXPD,HK$,28,
2009_82,82. Other educational charges,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,31,
2009_82,82. Other educational charges,3,Private housing,Y,2009,HOUSE_EXPD,HK$,32,
2009_83,83. Medical services,,Total,Y,2009,HOUSE_EXPD,HK$,590,
2009_83,83. Medical services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,269,
2009_83,83. Medical services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,532,
2009_83,83. Medical services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,793,
2009_84,84. Cinema entertainment,,Total,Y,2009,HOUSE_EXPD,HK$,25,
2009_84,84. Cinema entertainment,1,Public housing,Y,2009,HOUSE_EXPD,HK$,17,
2009_84,84. Cinema entertainment,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,24,
2009_84,84. Cinema entertainment,3,Private housing,Y,2009,HOUSE_EXPD,HK$,31,
2009_85,85. Package tours,,Total,Y,2009,HOUSE_EXPD,HK$,424,
2009_85,85. Package tours,1,Public housing,Y,2009,HOUSE_EXPD,HK$,89,
2009_85,85. Package tours,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,240,
2009_85,85. Package tours,3,Private housing,Y,2009,HOUSE_EXPD,HK$,681,
2009_86,86. Expenses on parties,,Total,Y,2009,HOUSE_EXPD,HK$,21,
2009_86,86. Expenses on parties,1,Public housing,Y,2009,HOUSE_EXPD,HK$,,[-§19]
2009_86,86. Expenses on parties,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,11,
2009_86,86. Expenses on parties,3,Private housing,Y,2009,HOUSE_EXPD,HK$,36,
2009_87,87. Other entertainment and holiday expenses,,Total,Y,2009,HOUSE_EXPD,HK$,56,
2009_87,87. Other entertainment and holiday expenses,1,Public housing,Y,2009,HOUSE_EXPD,HK$,24,
2009_87,87. Other entertainment and holiday expenses,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,46,
2009_87,87. Other entertainment and holiday expenses,3,Private housing,Y,2009,HOUSE_EXPD,HK$,78,
2009_88,88. Household services,,Total,Y,2009,HOUSE_EXPD,HK$,519,
2009_88,88. Household services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,68,
2009_88,88. Household services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,269,
2009_88,88. Household services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,865,
2009_89,89. Hair-dressing,,Total,Y,2009,HOUSE_EXPD,HK$,67,
2009_89,89. Hair-dressing,1,Public housing,Y,2009,HOUSE_EXPD,HK$,40,
2009_89,89. Hair-dressing,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,52,
2009_89,89. Hair-dressing,3,Private housing,Y,2009,HOUSE_EXPD,HK$,87,
2009_90,90. Beauty treatment and fitness services,,Total,Y,2009,HOUSE_EXPD,HK$,75,
2009_90,90. Beauty treatment and fitness services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,17,
2009_90,90. Beauty treatment and fitness services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,24,
2009_90,90. Beauty treatment and fitness services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,126,
2009_91,91. Repairs to personal and household goods,,Total,Y,2009,HOUSE_EXPD,HK$,18,
2009_91,91. Repairs to personal and household goods,1,Public housing,Y,2009,HOUSE_EXPD,HK$,3,
2009_91,91. Repairs to personal and household goods,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,4,
2009_91,91. Repairs to personal and household goods,3,Private housing,Y,2009,HOUSE_EXPD,HK$,31,
2009_92,"92. Professional services, subscriptions and other services",,Total,Y,2009,HOUSE_EXPD,HK$,87,
2009_92,"92. Professional services, subscriptions and other services",1,Public housing,Y,2009,HOUSE_EXPD,HK$,35,
2009_92,"92. Professional services, subscriptions and other services",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,35,
2009_92,"92. Professional services, subscriptions and other services",3,Private housing,Y,2009,HOUSE_EXPD,HK$,135,
2009_93,93. Telephone and other communications services,,Total,Y,2009,HOUSE_EXPD,HK$,515,
2009_93,93. Telephone and other communications services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,414,
2009_93,93. Telephone and other communications services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,496,
2009_93,93. Telephone and other communications services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,579,
2009_94,94. Photographic and photo-printing services,,Total,Y,2009,HOUSE_EXPD,HK$,26,
2009_94,94. Photographic and photo-printing services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,2,
2009_94,94. Photographic and photo-printing services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,2,
2009_94,94. Photographic and photo-printing services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,48,
S2,Housing,,Total,Y,2009,HOUSE_EXPD,HK$,7093,
S2,Housing,1,Public housing,Y,2009,HOUSE_EXPD,HK$,1160,
S2,Housing,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,6529,
S2,Housing,3,Private housing,Y,2009,HOUSE_EXPD,HK$,10647,
S6,Durable goods,,Total,Y,2009,HOUSE_EXPD,HK$,886,
S6,Durable goods,1,Public housing,Y,2009,HOUSE_EXPD,HK$,397,
S6,Durable goods,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,647,
S6,Durable goods,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1250,
S9,Miscellaneous services,,Total,Y,2009,HOUSE_EXPD,HK$,3449,
S9,Miscellaneous services,1,Public housing,Y,2009,HOUSE_EXPD,HK$,1609,
S9,Miscellaneous services,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,2617,
S9,Miscellaneous services,3,Private housing,Y,2009,HOUSE_EXPD,HK$,4793,
2009_28,"28. Rent, including rates and government rent",,Total,Y,2009,HOUSE_EXPD,HK$,6418,
2009_28,"28. Rent, including rates and government rent",1,Public housing,Y,2009,HOUSE_EXPD,HK$,1116,
2009_28,"28. Rent, including rates and government rent",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,5969,
2009_28,"28. Rent, including rates and government rent",3,Private housing,Y,2009,HOUSE_EXPD,HK$,9573,
2009_29,29. Management fees and other housing charges,,Total,Y,2009,HOUSE_EXPD,HK$,663,
2009_29,29. Management fees and other housing charges,1,Public housing,Y,2009,HOUSE_EXPD,HK$,42,
2009_29,29. Management fees and other housing charges,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,554,
2009_29,29. Management fees and other housing charges,3,Private housing,Y,2009,HOUSE_EXPD,HK$,1054,
2009_30,30. Materials for house maintenance,,Total,Y,2009,HOUSE_EXPD,HK$,12,
2009_30,30. Materials for house maintenance,1,Public housing,Y,2009,HOUSE_EXPD,HK$,2,
2009_30,30. Materials for house maintenance,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,6,
2009_30,30. Materials for house maintenance,3,Private housing,Y,2009,HOUSE_EXPD,HK$,19,
2009_51,51. Furniture,,Total,Y,2009,HOUSE_EXPD,HK$,71,
2009_51,51. Furniture,1,Public housing,Y,2009,HOUSE_EXPD,HK$,43,
2009_51,51. Furniture,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,36,
2009_51,51. Furniture,3,Private housing,Y,2009,HOUSE_EXPD,HK$,100,
2009_52,"52. Home appliances, electric and gas",,Total,Y,2009,HOUSE_EXPD,HK$,150,
2009_52,"52. Home appliances, electric and gas",1,Public housing,Y,2009,HOUSE_EXPD,HK$,96,
2009_52,"52. Home appliances, electric and gas",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,132,
2009_52,"52. Home appliances, electric and gas",3,Private housing,Y,2009,HOUSE_EXPD,HK$,188,
2009_53,53. Video and sound equipment,,Total,Y,2009,HOUSE_EXPD,HK$,125,
2009_53,53. Video and sound equipment,1,Public housing,Y,2009,HOUSE_EXPD,HK$,65,
2009_53,53. Video and sound equipment,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,124,
2009_53,53. Video and sound equipment,3,Private housing,Y,2009,HOUSE_EXPD,HK$,159,
2009_54,54. Computer and telecommunications equipment,,Total,Y,2009,HOUSE_EXPD,HK$,181,
2009_54,54. Computer and telecommunications equipment,1,Public housing,Y,2009,HOUSE_EXPD,HK$,94,
2009_54,54. Computer and telecommunications equipment,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,160,
2009_54,54. Computer and telecommunications equipment,3,Private housing,Y,2009,HOUSE_EXPD,HK$,237,
2009_55,55. Tableware and kitchen utensils,,Total,Y,2009,HOUSE_EXPD,HK$,25,
2009_55,55. Tableware and kitchen utensils,1,Public housing,Y,2009,HOUSE_EXPD,HK$,14,
2009_55,55. Tableware and kitchen utensils,2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,17,
2009_55,55. Tableware and kitchen utensils,3,Private housing,Y,2009,HOUSE_EXPD,HK$,33,
2009_56,"56. Watches, clocks, cameras and optical goods",,Total,Y,2009,HOUSE_EXPD,HK$,132,
2009_56,"56. Watches, clocks, cameras and optical goods",1,Public housing,Y,2009,HOUSE_EXPD,HK$,33,
2009_56,"56. Watches, clocks, cameras and optical goods",2,Subsidised housing,Y,2009,HOUSE_EXPD,HK$,84,
2009_56,"56. Watches, clocks, cameras and optical goods",3,Private housing,Y,2009,HOUSE_EXPD,HK$,205,
2009_57,57. Travel and sports goods,,Total,Y,2009,HOUSE_EXPD,HK$,184,
