LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
1,Public rental housing,Y,2002,MED_DH_INC,HK$,11000,
2,Subsidised home ownership housing,Y,2002,MED_DH_INC,HK$,20000,
3_temp,Private permanent housing,Y,2002,MED_DH_INC,HK$,22500,
1,Public rental housing,Y,2003,MED_DH_INC,HK$,10500,
2,Subsidised home ownership housing,Y,2003,MED_DH_INC,HK$,18700,
3_temp,Private permanent housing,Y,2003,MED_DH_INC,HK$,21000,
1,Public rental housing,Y,2004,MED_DH_INC,HK$,10500,
2,Subsidised home ownership housing,Y,2004,MED_DH_INC,HK$,18500,
3_temp,Private permanent housing,Y,2004,MED_DH_INC,HK$,21700,
1,Public rental housing,Y,2005,MED_DH_INC,HK$,10500,
2,Subsidised home ownership housing,Y,2005,MED_DH_INC,HK$,19000,
3_temp,Private permanent housing,Y,2005,MED_DH_INC,HK$,22000,
1,Public rental housing,Y,2006,MED_DH_INC,HK$,10500,
2,Subsidised home ownership housing,Y,2006,MED_DH_INC,HK$,19500,
3_temp,Private permanent housing,Y,2006,MED_DH_INC,HK$,23000,
1,Public rental housing,Y,2007,MED_DH_INC,HK$,11000,
2,Subsidised home ownership housing,Y,2007,MED_DH_INC,HK$,20000,
3_temp,Private permanent housing,Y,2007,MED_DH_INC,HK$,24000,
1,Public rental housing,Y,2008,MED_DH_INC,HK$,11200,
2,Subsidised home ownership housing,Y,2008,MED_DH_INC,HK$,20700,
3_temp,Private permanent housing,Y,2008,MED_DH_INC,HK$,25000,
1,Public rental housing,Y,2009,MED_DH_INC,HK$,10800,
2,Subsidised home ownership housing,Y,2009,MED_DH_INC,HK$,20000,
3_temp,Private permanent housing,Y,2009,MED_DH_INC,HK$,24600,
1,Public rental housing,Y,2010,MED_DH_INC,HK$,11000,
2,Subsidised home ownership housing,Y,2010,MED_DH_INC,HK$,20000,
3_temp,Private permanent housing,Y,2010,MED_DH_INC,HK$,25000,
1,Public rental housing,Y,2011,MED_DH_INC,HK$,12000,
2,Subsidised home ownership housing,Y,2011,MED_DH_INC,HK$,22000,
3_temp,Private permanent housing,Y,2011,MED_DH_INC,HK$,27000,
1,Public rental housing,Y,2012,MED_DH_INC,HK$,12500,
2,Subsidised home ownership housing,Y,2012,MED_DH_INC,HK$,23500,
3_temp,Private permanent housing,Y,2012,MED_DH_INC,HK$,30000,
1,Public rental housing,Y,2013,MED_DH_INC,HK$,13500,
2,Subsidised home ownership housing,Y,2013,MED_DH_INC,HK$,25000,
3_temp,Private permanent housing,Y,2013,MED_DH_INC,HK$,30500,
1,Public rental housing,Y,2014,MED_DH_INC,HK$,14200,
2,Subsidised home ownership housing,Y,2014,MED_DH_INC,HK$,26000,
3_temp,Private permanent housing,Y,2014,MED_DH_INC,HK$,31900,
1,Public rental housing,Y,2015,MED_DH_INC,HK$,15000,
2,Subsidised home ownership housing,Y,2015,MED_DH_INC,HK$,27500,
3_temp,Private permanent housing,Y,2015,MED_DH_INC,HK$,33800,
1,Public rental housing,Y,2016,MED_DH_INC,HK$,15800,
2,Subsidised home ownership housing,Y,2016,MED_DH_INC,HK$,27000,
3_temp,Private permanent housing,Y,2016,MED_DH_INC,HK$,35000,
1,Public rental housing,Y,2017,MED_DH_INC,HK$,16500,
2,Subsidised home ownership housing,Y,2017,MED_DH_INC,HK$,28000,
3_temp,Private permanent housing,Y,2017,MED_DH_INC,HK$,37000,
1,Public rental housing,Y,2018,MED_DH_INC,HK$,18000,
2,Subsidised home ownership housing,Y,2018,MED_DH_INC,HK$,30000,
3_temp,Private permanent housing,Y,2018,MED_DH_INC,HK$,39000,
1,Public rental housing,Y,2019,MED_DH_INC,HK$,18700,
2,Subsidised home ownership housing,Y,2019,MED_DH_INC,HK$,29800,
3_temp,Private permanent housing,Y,2019,MED_DH_INC,HK$,39800,
1,Public rental housing,Y,2020,MED_DH_INC,HK$,18300,
2,Subsidised home ownership housing,Y,2020,MED_DH_INC,HK$,27300,
3_temp,Private permanent housing,Y,2020,MED_DH_INC,HK$,38000,
1,Public rental housing,Y,2021,MED_DH_INC,HK$,18500,
2,Subsidised home ownership housing,Y,2021,MED_DH_INC,HK$,27200,
3_temp,Private permanent housing,Y,2021,MED_DH_INC,HK$,37200,
1,Public rental housing,Y,2022,MED_DH_INC,HK$,19200,
2,Subsidised home ownership housing,Y,2022,MED_DH_INC,HK$,27600,
3_temp,Private permanent housing,Y,2022,MED_DH_INC,HK$,38600,
1,Public rental housing,Y,2023,MED_DH_INC,HK$,20200,
2,Subsidised home ownership housing,Y,2023,MED_DH_INC,HK$,28400,
3_temp,Private permanent housing,Y,2023,MED_DH_INC,HK$,40200,
1,Public rental housing,Y,2024,MED_DH_INC,HK$,20200,
2,Subsidised home ownership housing,Y,2024,MED_DH_INC,HK$,28400,
3_temp,Private permanent housing,Y,2024,MED_DH_INC,HK$,40300,
1,Public rental housing,Y,2025,MED_DH_INC,HK$,20500,
2,Subsidised home ownership housing,Y,2025,MED_DH_INC,HK$,28000,
3_temp,Private permanent housing,Y,2025,MED_DH_INC,HK$,41000,
1,Public rental housing,Y,2002,MED_DH_INC_XEI,HK$,13000,
2,Subsidised home ownership housing,Y,2002,MED_DH_INC_XEI,HK$,20000,
3_temp,Private permanent housing,Y,2002,MED_DH_INC_XEI,HK$,25500,
1,Public rental housing,Y,2003,MED_DH_INC_XEI,HK$,12400,
2,Subsidised home ownership housing,Y,2003,MED_DH_INC_XEI,HK$,20000,
3_temp,Private permanent housing,Y,2003,MED_DH_INC_XEI,HK$,25000,
1,Public rental housing,Y,2004,MED_DH_INC_XEI,HK$,12500,
2,Subsidised home ownership housing,Y,2004,MED_DH_INC_XEI,HK$,20000,
3_temp,Private permanent housing,Y,2004,MED_DH_INC_XEI,HK$,25000,
1,Public rental housing,Y,2005,MED_DH_INC_XEI,HK$,12700,
2,Subsidised home ownership housing,Y,2005,MED_DH_INC_XEI,HK$,20000,
3_temp,Private permanent housing,Y,2005,MED_DH_INC_XEI,HK$,25000,
1,Public rental housing,Y,2006,MED_DH_INC_XEI,HK$,12800,
2,Subsidised home ownership housing,Y,2006,MED_DH_INC_XEI,HK$,20600,
3_temp,Private permanent housing,Y,2006,MED_DH_INC_XEI,HK$,26000,
1,Public rental housing,Y,2007,MED_DH_INC_XEI,HK$,13100,
2,Subsidised home ownership housing,Y,2007,MED_DH_INC_XEI,HK$,21400,
3_temp,Private permanent housing,Y,2007,MED_DH_INC_XEI,HK$,27800,
1,Public rental housing,Y,2008,MED_DH_INC_XEI,HK$,13800,
2,Subsidised home ownership housing,Y,2008,MED_DH_INC_XEI,HK$,22500,
3_temp,Private permanent housing,Y,2008,MED_DH_INC_XEI,HK$,29200,
1,Public rental housing,Y,2009,MED_DH_INC_XEI,HK$,13300,
2,Subsidised home ownership housing,Y,2009,MED_DH_INC_XEI,HK$,21500,
3_temp,Private permanent housing,Y,2009,MED_DH_INC_XEI,HK$,28500,
1,Public rental housing,Y,2010,MED_DH_INC_XEI,HK$,13500,
2,Subsidised home ownership housing,Y,2010,MED_DH_INC_XEI,HK$,22000,
3_temp,Private permanent housing,Y,2010,MED_DH_INC_XEI,HK$,30000,
1,Public rental housing,Y,2011,MED_DH_INC_XEI,HK$,14900,
2,Subsidised home ownership housing,Y,2011,MED_DH_INC_XEI,HK$,24000,
3_temp,Private permanent housing,Y,2011,MED_DH_INC_XEI,HK$,31000,
1,Public rental housing,Y,2012,MED_DH_INC_XEI,HK$,16000,
2,Subsidised home ownership housing,Y,2012,MED_DH_INC_XEI,HK$,26000,
3_temp,Private permanent housing,Y,2012,MED_DH_INC_XEI,HK$,34200,
1,Public rental housing,Y,2013,MED_DH_INC_XEI,HK$,17100,
2,Subsidised home ownership housing,Y,2013,MED_DH_INC_XEI,HK$,28000,
3_temp,Private permanent housing,Y,2013,MED_DH_INC_XEI,HK$,35500,
1,Public rental housing,Y,2014,MED_DH_INC_XEI,HK$,18200,
