LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
,Total,Y,2002,ADHS,No.,3.2,
1,Public rental housing,Y,2002,ADHS,No.,3.3,
2,Subsidised home ownership housing,Y,2002,ADHS,No.,3.5,
3,Private permanent housing,Y,2002,ADHS,No.,3.0,
,Total,Y,2003,ADHS,No.,3.1,
1,Public rental housing,Y,2003,ADHS,No.,3.2,
2,Subsidised home ownership housing,Y,2003,ADHS,No.,3.5,
3,Private permanent housing,Y,2003,ADHS,No.,2.9,
,Total,Y,2004,ADHS,No.,3.1,
1,Public rental housing,Y,2004,ADHS,No.,3.2,
2,Subsidised home ownership housing,Y,2004,ADHS,No.,3.4,
3,Private permanent housing,Y,2004,ADHS,No.,3.0,
,Total,Y,2005,ADHS,No.,3.0,
1,Public rental housing,Y,2005,ADHS,No.,3.1,
2,Subsidised home ownership housing,Y,2005,ADHS,No.,3.4,
3,Private permanent housing,Y,2005,ADHS,No.,2.9,
,Total,Y,2006,ADHS,No.,3.0,
1,Public rental housing,Y,2006,ADHS,No.,3.0,
2,Subsidised home ownership housing,Y,2006,ADHS,No.,3.3,
3,Private permanent housing,Y,2006,ADHS,No.,2.9,
,Total,Y,2007,ADHS,No.,3.0,
1,Public rental housing,Y,2007,ADHS,No.,3.0,
2,Subsidised home ownership housing,Y,2007,ADHS,No.,3.3,
3,Private permanent housing,Y,2007,ADHS,No.,2.9,
,Total,Y,2008,ADHS,No.,3.0,
1,Public rental housing,Y,2008,ADHS,No.,2.9,
2,Subsidised home ownership housing,Y,2008,ADHS,No.,3.3,
3,Private permanent housing,Y,2008,ADHS,No.,2.9,
,Total,Y,2009,ADHS,No.,2.9,
1,Public rental housing,Y,2009,ADHS,No.,2.9,
2,Subsidised home ownership housing,Y,2009,ADHS,No.,3.2,
3,Private permanent housing,Y,2009,ADHS,No.,2.9,
,Total,Y,2010,ADHS,No.,2.9,
1,Public rental housing,Y,2010,ADHS,No.,2.9,
2,Subsidised home ownership housing,Y,2010,ADHS,No.,3.2,
3,Private permanent housing,Y,2010,ADHS,No.,2.9,
,Total,Y,2011,ADHS,No.,2.9,
1,Public rental housing,Y,2011,ADHS,No.,2.8,
2,Subsidised home ownership housing,Y,2011,ADHS,No.,3.2,
3,Private permanent housing,Y,2011,ADHS,No.,2.9,
,Total,Y,2012,ADHS,No.,2.9,
1,Public rental housing,Y,2012,ADHS,No.,2.8,
2,Subsidised home ownership housing,Y,2012,ADHS,No.,3.1,
3,Private permanent housing,Y,2012,ADHS,No.,2.9,
,Total,Y,2013,ADHS,No.,2.9,
1,Public rental housing,Y,2013,ADHS,No.,2.8,
2,Subsidised home ownership housing,Y,2013,ADHS,No.,3.1,
3,Private permanent housing,Y,2013,ADHS,No.,2.9,
,Total,Y,2014,ADHS,No.,2.9,
1,Public rental housing,Y,2014,ADHS,No.,2.8,
2,Subsidised home ownership housing,Y,2014,ADHS,No.,3.1,
3,Private permanent housing,Y,2014,ADHS,No.,2.9,
,Total,Y,2015,ADHS,No.,2.9,
1,Public rental housing,Y,2015,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2015,ADHS,No.,3.1,
3,Private permanent housing,Y,2015,ADHS,No.,2.9,
,Total,Y,2016,ADHS,No.,2.8,
1,Public rental housing,Y,2016,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2016,ADHS,No.,3.0,
3,Private permanent housing,Y,2016,ADHS,No.,2.9,
,Total,Y,2017,ADHS,No.,2.8,
1,Public rental housing,Y,2017,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2017,ADHS,No.,3.0,
3,Private permanent housing,Y,2017,ADHS,No.,2.9,
,Total,Y,2018,ADHS,No.,2.8,
1,Public rental housing,Y,2018,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2018,ADHS,No.,3.0,
3,Private permanent housing,Y,2018,ADHS,No.,2.8,
,Total,Y,2019,ADHS,No.,2.8,
1,Public rental housing,Y,2019,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2019,ADHS,No.,2.9,
3,Private permanent housing,Y,2019,ADHS,No.,2.8,
,Total,Y,2020,ADHS,No.,2.8,
1,Public rental housing,Y,2020,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2020,ADHS,No.,2.9,
3,Private permanent housing,Y,2020,ADHS,No.,2.8,
,Total,Y,2021,ADHS,No.,2.7,
1,Public rental housing,Y,2021,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2021,ADHS,No.,2.8,
3,Private permanent housing,Y,2021,ADHS,No.,2.7,
,Total,Y,2022,ADHS,No.,2.7,
1,Public rental housing,Y,2022,ADHS,No.,2.7,
2,Subsidised home ownership housing,Y,2022,ADHS,No.,2.7,
3,Private permanent housing,Y,2022,ADHS,No.,2.7,
,Total,Y,2023,ADHS,No.,2.7,
1,Public rental housing,Y,2023,ADHS,No.,2.6,
2,Subsidised home ownership housing,Y,2023,ADHS,No.,2.7,
3,Private permanent housing,Y,2023,ADHS,No.,2.7,
,Total,Y,2024,ADHS,No.,2.6,
1,Public rental housing,Y,2024,ADHS,No.,2.6,
2,Subsidised home ownership housing,Y,2024,ADHS,No.,2.6,
3,Private permanent housing,Y,2024,ADHS,No.,2.6,
,Total,Y,2025,ADHS,No.,2.6,
1,Public rental housing,Y,2025,ADHS,No.,2.6,
2,Subsidised home ownership housing,Y,2025,ADHS,No.,2.6,
3,Private permanent housing,Y,2025,ADHS,No.,2.6,
