period,goods,expense
2009,Accommodation services,280.1
2009,Alcoholic drinks and tobacco,26.7
2009,Clothing and footwear,131.8
2009,Durable goods,76.8
2009,Education,291.1
2009,Food,298.3
2009,Health,141.7
2009,Housing,211.1
2009,Information and communication,132.8
2009,Miscellaneous services,187.2
2009,"Recreation, sport and culture",112.3
2009,Transport,266.2
2014,Accommodation services,334.9
2014,Alcoholic drinks and tobacco,27.8
2014,Clothing and footwear,169.4
2014,Durable goods,104.7
2014,Education,284.6
2014,Food,351.2
2014,Health,168.3
2014,Housing,264.7
2014,Information and communication,150.4
2014,Miscellaneous services,214.3
2014,"Recreation, sport and culture",146.8
2014,Transport,334.0
2019,Accommodation services,14.1
2019,Alcoholic drinks and tobacco,1.5
2019,Clothing and footwear,5.6
2019,Durable goods,4.7
2019,Education,8.3
2019,Food,13.5
2019,Health,8.2
2019,Housing,11.3
2019,Information and communication,5.0
2019,Miscellaneous services,8.4
2019,"Recreation, sport and culture",7.3
2019,Transport,12.0
