Year,2023,,2017/18,,2012/13,,2007/08,,2002/03,,
Type of Goods and Services (2-digit),Distribution of Household Expenditure (%),Average Monthly Household Expenditure ($),Distribution of Household Expenditure (%),Average Monthly Household Expenditure ($),Distribution of Household Expenditure (%),Average Monthly Household Expenditure ($),Distribution of Household Expenditure (%),Average Monthly Household Expenditure ($),Distribution of Household Expenditure (%),Average Monthly Household Expenditure ($),
"TOTAL, including imputed rental for owner-occupied accommodation",100,7118.7,100,6160.8,100,5815.3,100,4432.5,100,3797.8,
FOOD AND NON-ALCOHOLIC BEVERAGES,6.4,455.9,6.4,394,7.5,433.3,8.2,364.6,9,340.5,
ALCOHOLIC BEVERAGES AND TOBACCO,0.6,39.7,0.7,42.4,0.9,53.4,1,46.5,1.4,52.2,
CLOTHING AND FOOTWEAR,1.7,119.6,2,122.9,2.7,155.6,3.2,143.1,3.3,127,
HOUSING AND UTILITIES,24.4,1737.5,23.1,1425.6,25.3,1473.6,22.2,983.6,18.5,704.1,
  Imputed Rental for Owner-Occupied Accommodation,16.7,1187.7,16.2,998,18,1046.8,14.1,623.6,11.7,445.9,
"FURNISHING, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",5.4,384.6,4.5,277.5,4.4,256.7,4.1,182.1,5.6,212.5,
HEALTH,6.7,473.5,5.2,320.1,4.3,253,4.8,211.4,4.3,163.5,
TRANSPORT,13.4,951.2,16.9,1038.2,14.7,856.7,15.8,701.9,16.3,618.6,
INFORMATION AND COMMUNICATION,3.8,270.2,4.5,276.4,4.5,260,6.3,280.7,6.5,248.5,
"RECREATION, SPORT AND CULTURE",4.7,334.7,5.5,340.8,6.1,352.7,7,309,9.6,365.4,
EDUCATION,5.7,404.2,6.1,374,5.7,334.1,5.7,251.6,5.5,209.1,
FOOD AND BEVERAGE SERVING SERVICES,13.6,965.7,13.1,809.9,13.1,764.1,13.3,591.7,12.3,465.6,
ACCOMMODATION SERVICES,1.2,81.9,1.1,69.5,0.7,39.5,0.7,33,0.2,6.2,
INSURANCE AND FINANCIAL SERVICES,8.3,590,6.2,381.8,5.1,294.6,2.5,110.6,2.4,89.7,
"PERSONAL CARE, SOCIAL SERVICES AND MISCELLANEOUS GOODS AND SERVICES",4,285.3,4.3,264.4,4.5,264.5,4.4,197,4.4,169,
NON-ASSIGNABLE EXPENDITURE,0.3,24.6,0.4,23.4,0.4,23.6,0.6,25.6,0.7,26,
